words,labels,entities,term_list
"['Polish', 'Your', 'Dressage', 'Freestyle']","['O', 'O', 'B-Term', 'I-Term']","{('Term', 2, 3)}",['Dressage Freestyle']
"['Terry', 'Ciotti', 'Gallo', 'answers', 'this', 'reader', 'question', 'and', 'provides', 'some', 'tips', 'to', 'improve', 'your', 'dressage', 'Freestyle', '.']","['B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O']","{('Term', 14, 15), ('Term', 0, 2)}","['dressage Freestyle', 'Terry Ciotti Gallo']"
"['Q', ':', 'I', 'have', 'been', 'riding', 'my', 'own', 'First', 'Level', 'Freestyle', 'and', 'observing', 'at', 'the', 'higher', 'levels', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 5), ('Term', 8, 10)}","['riding', 'First Level Freestyle']"
"['I', 'notice', 'that', 'some', 'rides', 'are', 'polished', 'and', 'others', 'are', 'not', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 4, 4)}",['rides']
"['Can', 'you', 'tell', 'me', 'some', 'general', 'ways', 'I', 'can', 'polish', 'my', 'ride', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 11, 11)}",['ride']
"['Also', ',', 'I', 'am', 'wondering', 'what', 'happens', 'if', 'my', 'music', 'stops', 'during', 'my', 'test', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 13, 13)}",['test']
"['Do', 'I', 'start', 'over', '?']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['A', ':', 'When', 'rider', 'first', 'began', 'doing', 'Freestyles', ',', 'they', 'were', 'not', 'able', 'to', 'see', 'the', 'connection', 'between', 'the', 'music', 'and', 'the', 'movements', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 22, 22), ('Term', 3, 3), ('Term', 7, 7)}","['movements', 'rider', 'Freestyles']"
"['But', 'now', ',', 'most', 'people', 'are', 'aware', 'that', 'the', 'beat', 'of', 'the', 'music', 'must', 'match', 'the', 'footfall', 'of', 'the', 'horse', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 19, 19), ('Term', 16, 16)}","['horse', 'footfall']"
"['This', 'is', 'good', 'because', ',', 'at', 'the', 'trot', ',', 'the', 'judge', 'will', 'be', 'looking', 'for', 'the', 'front', 'legs', 'to', 'match', 'the', 'beat', 'of', 'the', 'music', 'as', 'they', 'strike', 'the', 'ground', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 7, 7), ('Term', 16, 17)}","['judge', 'trot', 'front legs']"
"['At', 'the', 'canter', ',', 'the', 'lead', 'leg', 'must', 'be', 'in-sync', 'with', 'the', 'beat', '.']","['O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 2, 2), ('Term', 5, 6)}","['canter', 'lead leg']"
"['I', 'think', 'the', 'newest', 'challenge', 'facing', 'freestyle', 'riders', 'is', 'in', 'remembering', 'to', 'present', 'an', 'entire', 'program', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 7, 7)}","['freestyle', 'riders']"
"['Riders', 'are', 'linking', 'disparate', 'pieces', 'of', 'music', 'together', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 0)}",['Riders']
"['Yes', ',', 'the', 'pieces', 'match', 'the', 'footfalls', 'and', 'change', 'when', 'the', 'gaits', 'change', ',', 'but', 'the', 'selections', 'do', ""n't"", 'have', 'a', 'cohesive', 'sound', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 11, 11)}","['footfalls', 'gaits']"
"['The', 'various', 'selections', 'must', 'be', 'linked', 'either', 'by', 'coming', 'from', 'the', 'same', 'genre', '(', 'jazz', ',', 'classical', ',', 'show', 'tunes', ')', ',', 'having', 'a', 'theme', '(', 'children', ""'s"", 'music', ',', 'Irish', 'music', ',', 'Broadway', ')', 'or', 'at', 'least', 'having', 'the', 'same', 'instrumentation', '(', 'all', 'orchestral', ',', 'all', 'small', 'band', ',', 'guitar', 'as', 'a', 'feature', 'instrument', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['That', ""'s"", 'what', 'holds', 'the', 'program', 'together', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Another', 'way', 'to', 'give', 'added', 'impact', 'to', 'your', 'program', 'is', 'to', 'interpret', 'your', 'music', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['For', 'instance', ',', 'when', 'you', 'hear', 'the', 'phrasing', 'change', 'within', 'a', 'piece', ',', 'think', 'about', 'how', 'you', 'can', 'express', 'that', 'change', 'with', 'your', 'horse', ""'s"", 'movement', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 23, 23)}",['horse']
"['The', 'most', 'critical', 'issue', 'involved', 'in', 'giving', 'your', 'freestyle', 'a', 'true', 'polish', ',', 'though', ',', 'is', 'the', 'editing', 'of', 'your', 'music', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 8, 8)}",['freestyle']
"['This', 'is', 'crucial', 'because', 'your', 'composition', 'should', ""n't"", 'sound', 'as', 'if', 'you', 'dashed', 'it', 'together', 'the', 'night', 'before', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Ask', 'yourself', 'if', 'the', 'editing', 'is', 'disruptive', 'or', 'if', 'there', 'are', 'long', 'pauses', 'between', 'sections', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['If', 'so', ',', 'then', 'the', 'editing', 'needs', 'to', 'be', 'tighter', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Just', 'as', 'you', 'expect', 'your', 'transitions', 'from', 'gait', 'to', 'gait', 'or', 'from', 'movement', 'to', 'movement', 'to', 'be', 'fluid', ',', 'you', 'must', 'expect', 'the', 'transitions', 'in', 'your', 'music', 'to', 'be', 'clean', 'and', 'smooth', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 9, 9), ('Term', 5, 5), ('Term', 7, 7), ('Term', 23, 23), ('Term', 14, 14), ('Term', 12, 12)}","['gait', 'transitions', 'gait', 'transitions', 'movement', 'movement']"
"['Seek', 'the', 'help', 'of', 'a', 'professional', 'editor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Not', 'only', 'will', 'your', 'musical', 'transitions', 'be', 'good', ',', 'but', 'the', 'sound', 'will', 'be', 'clean', 'and', 'crisp', ',', 'too', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 5)}",['transitions']
"['Then', ',', 'when', 'you', 'come', 'down', 'centerline', ',', 'you', 'can', 'have', 'confidence', 'that', 'you', 'will', 'have', 'good', 'sound', 'quality', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6)}",['centerline']
"['Having', 'well-recorded', 'music', 'is', 'even', 'more', 'important', 'because', 'the', 'sound', 'systems', 'at', 'shows', 'are', 'often', 'poor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 12, 12)}",['shows']
